Month,Day,1980's Average,1990's Average,2000's Average,2010's Average,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,18,4394672,4565182,4695821,4543048.7,-9999,5129817,-9999,-9999,5111166,-9999,4093004,3947361,-9999,4737825,4139404,4323974,4368832,4990863,4279697,4059829,4618346,5298144,5692186,3835142,4094567,4414211,4476826,5009249,4342637,5317963,5179245,4045358,3564813,4117165,5706660,5218364,4320051,3750021,5159424,5128575,5756839,6538651,4130267,3313301,3819505,3513853,4097273,4455243,3706485,3236039,3709482
01,19,4307371,4474381,4596085,4420430.8,-9999,-9999,4302568,3973370,-9999,4326017,-9999,-9999,4699658,-9999,4060722,4241904,4249459,4904557,4196804,3965293,4508529,5219939,5548558,3767800,4027384,4355484,4392138,4937005,4270287,5236807,5098022,3964485,3468948,3985066,5581020,5094181,4264504,3577659,5082504,5037237,5619501,6220531,4023759,3237501,3702538,3438574,4007110,4293475,3609509,3170888,3615336
01,20,4221066,4379413,4500473,4321731.2,-9999,4911085,-9999,-9999,4868148,-9999,3830412,3782358,-9999,4568661,3972629,4159333,4156032,4808385,4114574,3877568,4393896,5117516,5406971,3687351,3937235,4294597,4297740,4878527,4196153,5115903,4968326,3874587,3378500,3901946,5453920,4954618,4195947,3448493,5027677,4954915,5511683,6003076,3946268,3162585,3585370,3381298,3914464,4151330,3542896,3103798,3483923
01,21,4135715,4291169,4399088,4225509.8,-9999,-9999,4196292,3871838,-9999,4187663,-9999,-9999,4500833,-9999,3877324,4069767,4073924,4721953,4054275,3783767,4297751,5006768,5275195,3620900,3860354,4216799,4199751,4803785,4130760,4976301,4842814,3793106,3325324,3821594,5340175,4796364,4140237,3387145,4935192,4876354,5405172,5802749,3860970,3062611,3461111,3323557,3877778,4060220,3490548,3050762,3380823
01,22,4050853,4211037,4300807,4133009.2,-9999,4615430,-9999,-9999,4584083,-9999,3618480,3659203,-9999,4395525,3778812,3984721,4000268,4649373,3980707,3686345,4226702,4936036,5118230,3554086,3806159,4152466,4103518,4734513,4072164,4888779,4750576,3726565,3261710,3753350,5206638,4653467,4094900,3315353,4836200,4799962,5305257,5558204,3776138,2981476,3381932,3280670,3828079,3970431,3440524,2984773,3289686
01,23,3973204,4130601,4212011,4055071.3,-9999,-9999,4030103,3783767,-9999,4051756,-9999,-9999,4353150,-9999,3724389,3905338,3918114,4607682,3881914,3603409,4148289,4852050,4987049,3497455,3734928,4075116,4023224,4677116,3982651,4771472,4675724,3655580,3192402,3651515,5034363,4500534,4045848,3262851,4769760,4736519,5223761,5351612,3725136,2924396,3285439,3225391,3775153,3843787,3365657,2862034,3211242
01,24,3896383,4063610,4125619,3987117.2,-9999,4372962,-9999,-9999,4316161,-9999,3440334,3547690,-9999,4205604,3658904,3832871,3848038,4559748,3815553,3549965,4078909,4765894,4864555,3440104,3692991,4020344,3941028,4632762,3903640,4659986,4637090,3587328,3143299,3564446,4888727,4366065,3980792,3215938,4751222,4678286,5145382,5201965,3667544,2840868,3198611,3190564,3712730,3763356,3278356,2768482,3145093
01,25,3834616,3995788,4051616,3912336.9,-9999,-9999,3865873,3696870,-9999,3932303,-9999,-9999,4210699,-9999,3619569,3753392,3784815,4493169,3756234,3478928,3989003,4694412,4768930,3373775,3656595,3962023,3860669,4582797,3845093,4557611,4585317,3519562,3095726,3478581,4765151,4232252,3888603,3180632,4646789,4631591,5059745,5042155,3627561,2761228,3124420,3160645,3665239,3717861,3195416,2702836,3067967
01,26,3779454,3929883,3978066,3839154.7,-9999,4188985,-9999,-9999,4162031,-9999,3316827,3433677,-9999,4112579,3583071,3695344,3740218,4426013,3694261,3403594,3909147,4623861,4660072,3307557,3624979,3909129,3796265,4539696,3771382,4483073,4546729,3460850,3033938,3423267,4637058,4139665,3840942,3136014,4575224,4543065,4928037,4933885,3564550,2706165,3054641,3109024,3606419,3644654,3126720,2628718,2996494
01,27,3719019,3855427,3909190,3768230.5,-9999,-9999,3732497,3624153,-9999,3840171,-9999,-9999,4079460,-9999,3517055,3633038,3686057,4367720,3648371,3308301,3851751,4547561,4500767,3243456,3564404,3835879,3717052,4494027,3715513,4394288,4501734,3391490,2978643,3367677,4500291,4032443,3789319,3078949,4513223,4477250,4805345,4837178,3496736,2627832,3002188,3054285,3531504,3565541,3083597,2571717,2896826
