Month,Day,1980's Average,1990's Average,2000's Average,2010's Average,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01,11,14289704,13897130,13323718,12773173.6,-9999,-9999,-9999,14351678,-9999,14296700,-9999,-9999,14263298,-9999,-9999,14318597,14208723,13732296,14031013,14065035,14057471,14001886,13381910,13769043,13926527,13797398,13475605,13628050,13493940,13663599,13359311,12989292,12905224,12725785,13080988,13242631,13055023,12609635,13234453,12889845,12847766,12691710,12851838,12397029,12331714,12822723,12710538,12674081,13105510,12686243,13242419
01,12,14321332,13939465,13357576,12816065.6,-9999,14943518,-9999,-9999,14766370,-9999,13948256,14078170,-9999,-9999,-9999,14377164,14219131,13822884,14057736,14125408,14088496,14019742,13420175,13800994,13992515,13847571,13490546,13628665,13569485,13738147,13426926,12991851,12914327,12779363,13107448,13251227,13108972,12688277,13316476,12960039,12897282,12797534,12878297,12378580,12368693,12766506,12813537,12788480,13121353,12712404,13269177
01,13,14389859,13984146,13391870,12848062.5,-9999,-9999,14499275,14443421,-9999,14386385,-9999,-9999,14417248,-9999,14412666,14422418,14224184,13898760,14060826,14232503,14140867,14030517,13485511,13838971,14023769,13905549,13512419,13635276,13625851,13766935,13491578,13015855,12948756,12871354,13156393,13324677,13150730,12744938,13278795,13003476,12927003,12896657,12885912,12357702,12431482,12803930,12835393,12879279,13104331,12721330,13289648
01,14,14446923,14022152,13446337,12897740.8,-9999,15013708,-9999,-9999,14853237,-9999,13989830,14218774,-9999,-9999,14459009,14540181,14240376,13924131,14080609,14365097,14192521,14061582,13496346,13860498,14063173,13937189,13546967,13661353,13723014,13831765,13517986,13035372,12970668,12961708,13231528,13429347,13226639,12849921,13255298,13057235,12939224,12977552,12899639,12387965,12478187,12905748,12919142,12943114,13115735,12757879,13317566
01,15,14481697,14054389,13493118,12952548.6,-9999,-9999,14607200,14538916,-9999,14492102,-9999,-9999,14538007,-9999,14507624,14521040,14246463,13979421,14114187,14465775,14219931,14086008,13527700,13852595,14115172,13936636,13602714,13720729,13791380,13892192,13483290,13078301,12943895,13050900,13270654,13519773,13272669,12919156,13208256,13140084,12982086,13054778,12909668,12421026,12629413,12988350,13014754,13003003,13166073,12799213,13351931
01,16,14517793,14086178,13538353,12994845.8,-9999,15017527,-9999,-9999,14945722,-9999,13962804,14290391,-9999,14478854,14536156,14554505,14257632,14013610,14088307,14578572,14262704,14113672,13573229,13864613,14162650,13946792,13678411,13769786,13831907,13947914,13502393,13161695,12892108,13125919,13293834,13598264,13272034,12963808,13123560,13247598,13059648,13139419,12933952,12496927,12663756,13047756,13063241,13085288,13215234,12880116,13366226
01,17,14561142,14127684,13586512,13018592,-9999,-9999,14679052,14673864,-9999,14671520,-9999,-9999,14618331,-9999,14583905,14593428,14298503,14015220,14159560,14665656,14323692,14147183,13609330,13917003,14205702,13934986,13743886,13839800,13901468,14012307,13538101,13214382,12850606,13210005,13330134,13605824,13264670,12947972,13087285,13314884,13102299,13158985,12954168,12603241,12674512,13077904,13120139,13151810,13257415,12943544,13382734
01,18,14604837,14176870,13626683,13039918.4,-9999,15180029,-9999,-9999,14980165,-9999,13932795,14429157,-9999,14562755,14599488,14647031,14380792,14055178,14262749,14703306,14353614,14207390,13639222,14013696,14248360,13904390,13792086,13921692,13979154,14089471,13584649,13226354,12813728,13272152,13364474,13647454,13304485,12941642,13095543,13298441,13159881,13210842,12943232,12646417,12700746,13097955,13174294,13175387,13287169,12968100,13367219
01,19,14655020,14211380,13662810,13082870.9,-9999,-9999,14824192,14816077,-9999,14827557,-9999,-9999,14683356,-9999,14622925,14709451,14448465,14082370,14322502,14725454,14374374,14232049,13666058,14063933,14305159,13893436,13850208,13983612,14037697,14167368,13637114,13213065,12798275,13351745,13388002,13741111,13336339,12978268,13124999,13324370,13218010,13235356,12967619,12768815,12725133,13149800,13260794,13129485,13305834,12974712,13344617
01,20,14694661,14246930,13699875,13113311.1,-9999,15299855,-9999,-9999,14934486,-9999,14062933,14494340,-9999,14736657,14628595,14754961,14496433,14129989,14382418,14763846,14343765,14262667,13731496,14125268,14333441,13899977,13884268,14033704,14093719,14228061,13669905,13232993,12779137,13396215,13395581,13709146,13356040,12992283,13177285,13344986,13262167,13223023,13001206,12868867,12700524,13206730,13292492,13121542,13329577,12992933,13420157
01,21,14744586,14287687,13738144,13150144,-9999,-9999,14945569,14845747,-9999,14958511,-9999,-9999,14768268,-9999,14646135,14793464,14529765,14180179,14445672,14793006,14352254,14298472,13808914,14158853,14364831,13944924,13941450,14069303,14144187,14231637,13688977,13224620,12801559,13446733,13475975,13675627,13359198,13031210,13271991,13346127,13288509,13251496,13054936,12974030,12681615,13242328,13332633,13157659,13416763,13022831,13522414
01,22,14790602,14321095,13771697,13187943,-9999,15448542,-9999,-9999,14991766,-9999,14275733,14561053,-9999,14919367,14663579,14828654,14553589,14222414,14478123,14830917,14415983,14318426,13860161,14184015,14394514,13952805,14024445,14105380,14176382,14097847,13720961,13209681,12900915,13489248,13644929,13679048,13374502,13043193,13360244,13379353,13360790,13329257,13086547,13002764,12685952,13256828,13382493,13211843,13549290,13040398,13579190
01,23,14835232,14355513,13796679,13227455.6,-9999,-9999,14948910,14860603,-9999,15108617,-9999,-9999,14895513,-9999,14681420,14854512,14550765,14280874,14503727,14885822,14544003,14299213,13879358,14200263,14416427,13994676,14093867,14129957,14184700,13980435,13761633,13282190,13011974,13586667,13796118,13676993,13360505,13093610,13403808,13407022,13420238,13387581,13106124,13081165,12722492,13292011,13472422,13279808,13579632,13058615,13617026
